Row Labels,Count of video_id
Autos & Vehicles,873
Comedy,2534
Education,844
Entertainment,15292
Film & Animation,2376
Gaming,1565
Howto & Style,1745
Movies,2
Music,2372
News & Politics,2935
Nonprofits & Activism,256
People & Blogs,5988
Pets & Animals,251
Science & Technology,806
Shows,107
Sports,2752
Trailers,1
Travel & Events,141
Grand Total,40840
