Row Labels,Count of video_id
Autos & Vehicles,673
Comedy,4343
Education,769
Entertainment,9819
Film & Animation,2157
Gaming,1459
Howto & Style,2361
Movies,11
Music,3946
News & Politics,3752
Nonprofits & Activism,114
People & Blogs,5719
Pets & Animals,237
Science & Technology,802
Shows,99
Sports,4342
Trailers,2
Travel & Events,119
Grand Total,40724
